epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.96189,2.0991,2.51581,3.89134,0.11641,0.16724,0.15909,0.10369,0.0317,2.28691,2.62741,4.30873,0.01917,0.000555556,0.000555556,0.000555556
2,18.6492,1.82448,2.15877,3.49126,0.05956,0.16724,0.15909,0.10369,0.0317,2.28691,2.62741,4.30873,0.01917,0.00119802,0.00119802,0.00119802
3,27.7374,1.88027,2.14549,3.54597,0.0669,0.16724,0.15909,0.10369,0.0317,2.28691,2.62741,4.30873,0.01917,0.00181409,0.00181409,0.00181409
4,36.5811,1.647,1.79553,2.86149,0.04814,0.39601,0.76004,0.39267,0.13219,1.80268,15.5094,4.42718,0.01346,0.0018812,0.0018812,0.0018812
5,45.3184,1.62295,1.80254,2.70658,0.03114,0.39601,0.76004,0.39267,0.13219,1.80268,15.5094,4.42718,0.01346,0.0018416,0.0018416,0.0018416
