epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,319.793,0.84977,1.31968,1.11808,0.9391,0.24852,0.27226,0.20038,1.28885,1.98846,1.17063,0.000297232,0.000297232,0.000297232
42,326.922,0.95647,1.47997,1.17832,0.9391,0.24852,0.27226,0.20038,1.28885,1.98846,1.17063,0.000268938,0.000268938,0.000268938
43,333.981,0.88418,1.36449,1.0669,0.9669,0.26263,0.284,0.21645,1.18554,1.86648,1.08781,0.000240644,0.000240644,0.000240644
44,341.03,0.82964,1.25153,1.10139,0.9669,0.26263,0.284,0.21645,1.18554,1.86648,1.08781,0.000212349,0.000212349,0.000212349
45,348.033,0.82565,1.25447,1.06952,0.9669,0.26263,0.284,0.21645,1.18554,1.86648,1.08781,0.000184055,0.000184055,0.000184055
46,355.691,0.87258,1.28463,1.06962,0.98609,0.26768,0.3189,0.23798,1.11157,1.7599,1.04083,0.000155761,0.000155761,0.000155761
47,362.76,0.78319,1.16295,1.02246,0.98609,0.26768,0.3189,0.23798,1.11157,1.7599,1.04083,0.000127467,0.000127467,0.000127467
48,369.655,0.84328,1.21579,1.10012,0.98609,0.26768,0.3189,0.23798,1.11157,1.7599,1.04083,9.91726e-05,9.91726e-05,9.91726e-05
49,376.675,0.9144,1.28815,1.11627,0.99343,0.27273,0.34025,0.25254,1.06292,1.70205,1.00306,7.08784e-05,7.08784e-05,7.08784e-05
50,383.739,0.80693,1.13071,1.0971,0.99343,0.27273,0.34025,0.25254,1.06292,1.70205,1.00306,4.25842e-05,4.25842e-05,4.25842e-05
