epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.44726,2.20445,2.55895,3.68935,0.09337,0.01363,0.84211,0.01836,0.00328,2.33233,3.01949,4.5785,0.06515,0.000533333,0.000533333,0.000533333
2,14.9278,2.3441,2.54591,3.69308,0.13384,0.01363,0.84211,0.01836,0.00328,2.33233,3.01949,4.5785,0.06515,0.00117624,0.00117624,0.00117624
3,22.4512,2.24598,2.50851,3.64574,0.09675,0.01363,0.84211,0.01836,0.00328,2.33233,3.01949,4.5785,0.06515,0.00179275,0.00179275,0.00179275
4,30.1402,1.90664,1.90786,3.32905,0.06277,0.3751,0.65789,0.41327,0.10181,2.079,3.67585,5.04093,0.02714,0.0018812,0.0018812,0.0018812
5,37.2256,1.7894,1.71623,2.9008,0.07796,0.3751,0.65789,0.41327,0.10181,2.079,3.67585,5.04093,0.02714,0.0018416,0.0018416,0.0018416
6,45.9376,1.88606,1.8734,3.12761,0.0485,0.3751,0.65789,0.41327,0.10181,2.079,3.67585,5.04093,0.02714,0.001802,0.001802,0.001802
7,53.5602,1.96467,1.76591,2.91662,0.088,0.32544,0.71053,0.29856,0.13294,1.65482,2.48701,2.92054,0.03942,0.0017624,0.0017624,0.0017624
8,60.4333,1.95447,1.74191,2.89477,0.046,0.32544,0.71053,0.29856,0.13294,1.65482,2.48701,2.92054,0.03942,0.0017228,0.0017228,0.0017228
9,67.3527,1.93619,1.78791,3.00948,0.06062,0.32544,0.71053,0.29856,0.13294,1.65482,2.48701,2.92054,0.03942,0.0016832,0.0016832,0.0016832
10,74.4431,1.63787,1.80656,2.59174,0.05782,0.53159,0.52632,0.47758,0.16342,1.93368,2.2419,3.06126,0.04773,0.0016436,0.0016436,0.0016436
11,81.3807,1.64296,1.81387,2.58153,0.03508,0.53159,0.52632,0.47758,0.16342,1.93368,2.2419,3.06126,0.04773,0.001604,0.001604,0.001604
12,88.8065,1.53432,1.78532,2.56939,0.03447,0.53159,0.52632,0.47758,0.16342,1.93368,2.2419,3.06126,0.04773,0.0015644,0.0015644,0.0015644
13,95.9585,1.45909,1.52123,2.3745,0.0281,0.55822,0.94737,0.74703,0.31045,1.60711,3.81192,2.84644,0.01893,0.0015248,0.0015248,0.0015248
14,102.586,1.47311,1.51525,2.39894,0.03917,0.55822,0.94737,0.74703,0.31045,1.60711,3.81192,2.84644,0.01893,0.0014852,0.0014852,0.0014852
15,110.944,1.3979,1.45975,2.28386,0.03252,0.55822,0.94737,0.74703,0.31045,1.60711,3.81192,2.84644,0.01893,0.0014456,0.0014456,0.0014456
16,118.65,1.35097,1.27566,2.12584,0.03535,0.61656,0.89474,0.76409,0.25582,1.60067,3.17428,2.67873,0.01869,0.001406,0.001406,0.001406
17,125.943,1.41033,1.4853,2.29027,0.02538,0.61656,0.89474,0.76409,0.25582,1.60067,3.17428,2.67873,0.01869,0.0013664,0.0013664,0.0013664
18,133.974,1.34097,1.31552,2.13934,0.03425,0.61656,0.89474,0.76409,0.25582,1.60067,3.17428,2.67873,0.01869,0.0013268,0.0013268,0.0013268
19,141.685,1.30223,1.32697,2.19302,0.03818,0.65435,0.92105,0.75099,0.33446,1.52651,2.66083,2.47044,0.0228,0.0012872,0.0012872,0.0012872
20,150.389,1.43597,1.35265,2.21635,0.04834,0.65435,0.92105,0.75099,0.33446,1.52651,2.66083,2.47044,0.0228,0.0012476,0.0012476,0.0012476
21,157.71,1.34341,1.31341,2.12205,0.03053,0.65435,0.92105,0.75099,0.33446,1.52651,2.66083,2.47044,0.0228,0.001208,0.001208,0.001208
22,164.669,1.12196,1.20305,1.95816,0.0329,0.67495,0.92904,0.77691,0.39314,1.31268,2.1405,2.36515,0.02182,0.0011684,0.0011684,0.0011684
23,171.624,1.30224,1.2571,2.11822,0.03383,0.67495,0.92904,0.77691,0.39314,1.31268,2.1405,2.36515,0.02182,0.0011288,0.0011288,0.0011288
