epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
24,178.145,1.26497,1.12582,2.06823,0.052,0.67495,0.92904,0.77691,0.39314,1.31268,2.1405,2.36515,0.02182,0.0010892,0.0010892,0.0010892
25,184.618,1.28348,1.23713,2.03304,0.03595,0.71353,0.97368,0.83942,0.44152,1.30218,2.0479,2.32418,0.02114,0.0010496,0.0010496,0.0010496
26,192.204,1.2266,1.12102,2.03268,0.03043,0.71353,0.97368,0.83942,0.44152,1.30218,2.0479,2.32418,0.02114,0.00101,0.00101,0.00101
27,199.682,1.03839,1.01679,1.85713,0.03375,0.71353,0.97368,0.83942,0.44152,1.30218,2.0479,2.32418,0.02114,0.0009704,0.0009704,0.0009704
28,207.243,1.06057,1.02805,1.90209,0.04208,0.72551,0.97378,0.85193,0.45364,1.24691,1.7496,2.3329,0.01368,0.0009308,0.0009308,0.0009308
29,214.395,1.2052,1.09724,2.01968,0.01951,0.72551,0.97378,0.85193,0.45364,1.24691,1.7496,2.3329,0.01368,0.0008912,0.0008912,0.0008912
30,222.163,1.16478,1.06013,1.96826,0.04712,0.72551,0.97378,0.85193,0.45364,1.24691,1.7496,2.3329,0.01368,0.0008516,0.0008516,0.0008516
31,230.451,1.07734,1.02034,1.8762,0.0278,0.79053,0.99323,0.90658,0.49092,1.20999,1.625,2.29797,0.01348,0.000812,0.000812,0.000812
32,238.16,0.97723,0.87771,1.79013,0.0193,0.79053,0.99323,0.90658,0.49092,1.20999,1.625,2.29797,0.01348,0.0007724,0.0007724,0.0007724
33,244.87,1.12025,1.0328,1.90088,0.03161,0.79053,0.99323,0.90658,0.49092,1.20999,1.625,2.29797,0.01348,0.0007328,0.0007328,0.0007328
34,252.322,1.18167,1.01975,1.89673,0.02928,0.87184,0.97368,0.96433,0.57308,1.14546,1.54109,2.23143,0.01183,0.0006932,0.0006932,0.0006932
35,260.39,1.02021,1.01165,1.7671,0.03919,0.87184,0.97368,0.96433,0.57308,1.14546,1.54109,2.23143,0.01183,0.0006536,0.0006536,0.0006536
36,268.392,0.98907,0.9646,1.90469,0.02066,0.87184,0.97368,0.96433,0.57308,1.14546,1.54109,2.23143,0.01183,0.000614,0.000614,0.000614
37,275.539,1.05341,0.93696,1.79935,0.02279,0.92436,0.96494,0.95789,0.5686,1.1385,1.52172,2.24691,0.01111,0.0005744,0.0005744,0.0005744
38,282.606,1.05354,0.97433,1.73803,0.03126,0.92436,0.96494,0.95789,0.5686,1.1385,1.52172,2.24691,0.01111,0.0005348,0.0005348,0.0005348
39,289.495,1.08394,0.95354,1.74615,0.02645,0.92436,0.96494,0.95789,0.5686,1.1385,1.52172,2.24691,0.01111,0.0004952,0.0004952,0.0004952
40,296.474,1.05188,0.91143,1.81996,0.02151,0.88039,0.96858,0.93753,0.61142,1.12718,1.5209,2.22246,0.01034,0.0004556,0.0004556,0.0004556
41,303.497,1.01403,1.36879,2.09648,0.01211,0.88039,0.96858,0.93753,0.61142,1.12718,1.5209,2.22246,0.01034,0.000416,0.000416,0.000416
42,310.54,1.20103,1.61236,2.12499,0.02289,0.88039,0.96858,0.93753,0.61142,1.12718,1.5209,2.22246,0.01034,0.0003764,0.0003764,0.0003764
43,317.428,1.23549,1.49245,2.20014,0.01085,0.88352,0.99811,0.94396,0.63458,1.0653,1.44935,2.17772,0.0088,0.0003368,0.0003368,0.0003368
44,324.203,1.29969,1.52023,2.24367,0.03367,0.88352,0.99811,0.94396,0.63458,1.0653,1.44935,2.17772,0.0088,0.0002972,0.0002972,0.0002972
45,331.013,1.12955,1.37507,2.15674,0.01909,0.88352,0.99811,0.94396,0.63458,1.0653,1.44935,2.17772,0.0088,0.0002576,0.0002576,0.0002576
46,338.137,1.15141,1.30077,2.136,0.01879,0.90436,0.99542,0.96336,0.65939,1.02047,1.35825,2.14322,0.00781,0.000218,0.000218,0.000218
47,346.293,1.10605,1.31332,2.10737,0.02248,0.90436,0.99542,0.96336,0.65939,1.02047,1.35825,2.14322,0.00781,0.0001784,0.0001784,0.0001784
48,353.931,0.99772,1.26951,2.04419,0.00753,0.90436,0.99542,0.96336,0.65939,1.02047,1.35825,2.14322,0.00781,0.0001388,0.0001388,0.0001388
49,361.636,1.11022,1.29311,2.04869,0.02253,0.9058,0.97368,0.95376,0.67493,0.9924,1.31842,2.10835,0.00759,9.92e-05,9.92e-05,9.92e-05
50,368.96,0.89701,1.23742,1.89127,0.00784,0.9058,0.97368,0.95376,0.67493,0.9924,1.31842,2.10835,0.00759,5.96e-05,5.96e-05,5.96e-05
